Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# Ns per 100 kbp
46358_2#368	39	18	15	13	12	9	1837405	1830648	1824397	1809867	1798956	1701995	23	633708	1834574	37.81	179086	141289	3	6	0.00
46358_2#88	38	24	19	16	13	11	1800096	1795068	1784930	1759470	1698577	1640679	28	396241	1798270	37.90	132743	84845	4	8	0.00
46358_2#77	44	21	14	14	12	7	1829111	1821200	1803718	1803718	1769837	1603063	28	582351	1825713	37.76	274388	120569	3	5	0.00
46358_2#95	58	38	28	26	18	11	1929705	1923701	1902811	1890722	1752388	1516235	41	425249	1926289	38.02	110838	68994	5	10	0.00
46358_2#99	31	16	13	12	10	7	1880997	1876085	1869010	1861375	1830979	1740112	20	863585	1878557	37.99	298989	142817	2	4	0.00
46358_2#89	45	27	18	15	12	8	1895994	1888250	1868991	1848218	1790046	1663208	33	603684	1893568	38.11	203411	118968	3	6	0.00
46358_2#96	54	31	23	19	17	15	1919049	1910821	1893955	1861117	1819359	1757424	37	187612	1915115	38.12	150497	79078	6	11	0.00
46358_2#48	25	12	10	9	8	7	1865564	1861553	1858321	1851385	1839422	1812744	14	720327	1862945	38.00	370457	157345	2	4	0.00
46358_2#79	31	16	10	7	7	6	1966440	1962724	1946910	1930547	1930547	1899996	17	460679	1963379	41.39	357558	326826	3	4	0.00
46371_1#151	172	57	47	39	34	23	4100145	4063430	4039834	3983022	3888474	3490406	78	510379	4079281	40.51	145519	87413	9	17	0.00
46371_1#139	298	195	111	88	53	17	3616096	3578718	3415570	3251414	2704430	1377959	229	137707	3603528	40.37	43976	26096	27	53	0.00
46371_1#161	3564	1579	290	114	31	8	7382689	6604761	3785318	2568557	1292753	507004	2212	95779	7074799	50.38	5852	2353	245	740	0.00
46371_1#129	80	43	38	35	26	16	2059444	2049978	2041552	2017866	1857310	1489922	45	152928	2051317	39.67	74170	40654	9	18	0.00
46371_1#113	115	34	25	23	18	15	2111310	2082588	2059282	2048020	1961701	1868458	55	229680	2097487	39.61	125737	72847	6	11	0.00
46371_1#135	88	41	35	33	26	14	2021356	2010906	1996921	1985302	1864285	1443164	43	211553	2012180	39.74	88522	42832	8	16	0.00
46371_1#153	86	35	30	27	23	15	2065228	2051078	2038178	2018664	1951984	1650917	40	333388	2054346	39.49	91962	56030	7	13	0.00
46371_1#152	2965	910	213	116	39	6	5413401	4713274	3299081	2618117	1458411	382215	1367	77697	5038474	35.22	10611	2920	107	340	0.00
46371_1#188	109	57	46	36	28	23	4027616	4012291	3983608	3916894	3776698	3592290	67	404739	4019330	40.48	190734	77205	7	15	0.00
46371_1#10	409	249	167	133	79	35	5923322	5865755	5680058	5436276	4536985	2910955	297	173062	5902652	39.69	49989	26925	36	75	0.00
46371_1#123	79	37	32	31	24	16	2056802	2046736	2037203	2031936	1914348	1638679	39	355708	2048075	39.67	88505	56664	7	15	0.00
46371_1#189	80	41	36	34	26	18	2099430	2089275	2080425	2069095	1942419	1668113	46	269319	2092684	39.67	83162	53185	8	17	0.00
46371_1#127	1410	679	381	239	76	15	7562220	7296608	6555736	5521002	3086645	1077475	860	102435	7428321	37.28	18742	9819	106	245	0.00
46371_1#142	100	40	31	25	20	11	2249061	2234300	2213538	2174742	2101911	1750949	45	366831	2238112	39.60	131965	59212	5	10	0.00
36773_2#168	30	16	13	11	11	8	1815682	1812127	1806426	1787277	1787277	1706757	18	585034	1813334	37.99	379661	118700	2	5	0.00
36773_2#114	35	20	16	15	13	11	1814466	1809090	1798232	1789988	1764010	1707713	24	526048	1812078	37.98	140557	111295	4	7	0.00
36773_2#117	25	15	11	9	8	7	1857188	1854308	1844308	1825391	1802081	1774476	17	1081522	1855756	38.07	1081522	104879	1	3	0.00
36773_2#145	45	16	11	11	11	8	1813648	1805621	1796957	1796957	1796957	1675412	20	502404	1808320	37.90	297119	121270	3	5	0.00
36773_2#111	21	8	6	6	6	5	1901370	1897887	1894811	1894811	1894811	1867237	10	1044874	1899049	38.00	1044874	411199	1	2	0.00
36773_2#14	43	11	10	9	8	7	1838801	1829494	1827914	1818098	1793976	1765921	17	590757	1833609	37.83	449922	161150	2	4	0.00
36773_2#11	19	10	8	8	8	6	1854134	1851703	1847758	1847758	1847758	1781624	11	1078503	1852657	38.04	1078503	148954	1	3	0.00
36773_2#110	56	24	22	20	16	10	1798263	1791115	1786418	1770145	1707313	1506502	25	486469	1791760	37.74	147939	69222	4	8	0.00
36773_2#104	24	10	8	8	8	7	1773278	1769363	1766287	1766287	1766287	1738632	13	987606	1771089	37.78	987606	141271	1	3	0.00
36773_2#139	35	14	9	8	8	6	1799652	1796087	1785148	1777536	1777536	1705327	14	1023943	1796087	37.82	1023943	128545	1	3	0.00
36773_2#108	27	12	10	9	8	6	1826859	1822003	1819224	1810709	1800467	1741675	16	622559	1824609	37.89	385236	371812	2	3	0.00
36773_2#144	37	18	12	12	10	7	1963661	1957356	1945483	1945483	1908717	1809568	22	593008	1960534	38.12	330574	135945	3	5	0.00
36773_2#109	34	18	12	10	9	8	1856689	1852254	1840986	1821966	1798683	1771082	20	452026	1853666	38.00	379548	139942	3	5	0.00
36773_2#187	48	25	20	17	13	10	1815253	1808177	1794350	1773701	1691823	1590803	29	526133	1810934	37.99	140629	98846	3	7	0.00
36773_2#159	36	16	11	10	10	7	1857789	1851694	1839532	1832669	1832669	1719854	20	511266	1854188	38.02	459806	135371	2	4	0.00
36773_2#16	27	12	9	8	8	6	1800215	1797493	1793508	1784990	1784990	1712776	12	1031392	1797493	37.82	1031392	128545	1	3	0.00
36773_2#142	34	17	13	11	10	7	1895840	1888411	1882202	1868667	1854984	1759100	21	638282	1891852	38.09	370514	155866	2	5	0.00
36773_2#100	24	15	10	10	8	6	1812791	1809295	1799523	1799523	1775107	1706456	18	647630	1811574	37.91	390394	323526	2	3	0.00
36773_2#103	40	15	13	12	12	8	1827456	1820519	1817573	1807839	1807839	1665015	20	589035	1823892	37.94	379947	99007	2	5	0.00
36773_2#157	22	11	9	8	7	6	1815802	1812902	1809645	1804085	1790309	1762542	12	625672	1813739	37.89	410981	365306	2	3	0.00
36773_2#176	39	9	8	7	7	5	1841133	1834260	1832935	1824411	1824411	1771672	12	986181	1835954	37.87	986181	431740	1	2	0.00
36773_2#12	50	25	18	17	15	12	1831547	1825405	1809698	1801541	1769629	1666010	26	264194	1826157	37.84	162858	111423	5	8	0.00
36773_2#123	67	22	17	14	13	11	1890089	1878423	1870978	1844276	1819703	1760599	25	509181	1880978	38.17	133542	106922	4	8	0.00
36773_2#133	42	20	14	12	10	7	1838047	1831752	1823289	1805586	1778842	1679115	23	603761	1834036	37.98	324173	155245	2	5	0.00
36773_2#149	28	19	11	11	9	7	1831072	1828491	1810228	1810228	1774838	1715342	21	547959	1829519	37.90	426865	136890	2	4	0.00
36773_2#146	29	9	7	7	7	6	1828970	1823544	1819810	1819810	1819810	1792231	11	1030377	1825240	37.87	1030377	150166	1	3	0.00
36773_2#106	51	25	15	14	12	9	1886953	1880562	1857262	1847575	1812808	1724339	27	350600	1882410	38.09	263806	138972	4	6	0.00
36773_2#101	29	15	12	10	10	8	1825780	1822272	1816571	1797422	1797422	1743587	17	631501	1823479	37.92	406295	118716	2	4	0.00
36773_2#129	37	22	16	14	11	8	1772519	1769090	1752132	1737125	1678547	1590653	22	526145	1769090	37.91	271174	111278	3	5	0.00
36773_2#143	30	16	11	10	9	7	1860123	1856398	1847002	1837700	1814351	1761119	18	1081410	1857846	38.07	1081410	104867	1	3	0.00
36773_2#174	32	14	12	11	10	8	1776311	1770678	1768443	1759911	1749679	1690894	17	580141	1773071	37.74	397444	141335	2	4	0.00
36773_2#155	23	15	11	9	9	7	1869169	1867542	1857104	1837532	1837532	1771512	15	606139	1867542	38.01	475643	148876	2	4	0.00
36773_2#177	40	21	15	12	10	7	1871354	1865655	1856784	1833744	1807000	1707274	24	603753	1867939	38.03	247869	155245	3	5	0.00
36773_2#118	30	11	9	8	8	7	1843438	1837466	1834900	1826353	1826353	1798782	14	609708	1839410	37.82	380375	151142	2	4	0.00
36773_2#125	40	13	11	10	9	7	1873298	1865978	1863325	1854771	1844547	1791879	17	678932	1868234	37.98	341323	170032	2	4	0.00
36773_2#178	40	17	13	12	10	8	1826394	1818593	1810584	1801292	1760829	1691705	22	364102	1822450	37.98	297286	124554	3	5	0.00
36773_2#151	46	28	22	19	14	10	1841679	1835986	1827002	1804188	1725279	1596872	32	405759	1838967	37.95	139461	102329	4	8	0.00
36773_2#179	42	24	19	17	13	9	1815077	1810251	1796054	1781051	1711890	1591966	25	526120	1811007	37.99	246562	98846	3	6	0.00
36773_2#113	27	11	9	9	8	7	1773734	1769338	1766262	1766262	1741358	1713703	14	988856	1771064	37.77	988856	141258	1	3	0.00
36773_2#115	39	16	10	10	10	8	1850969	1842562	1828259	1828259	1828259	1770156	24	536971	1847975	38.02	290472	134701	3	5	0.00
36773_2#105	48	21	13	12	11	9	1792569	1784786	1769660	1763376	1741731	1675812	24	494908	1786605	38.01	262758	94699	3	6	0.00
36773_2#126	41	23	18	17	13	9	1815107	1810282	1796084	1790823	1721651	1601732	24	526128	1811038	37.99	246558	98843	3	6	0.00
36773_2#150	35	16	12	12	10	6	1904830	1897123	1888652	1888652	1854971	1740168	23	1057403	1901927	37.96	1057403	135120	1	3	0.00
36773_2#124	21	13	9	8	8	7	1784336	1782767	1776090	1767864	1767864	1740352	13	604426	1782767	37.95	403035	354018	2	3	0.00
36773_2#171	30	9	8	8	8	7	1799405	1793527	1792355	1792355	1792355	1764931	12	943606	1795285	37.74	943606	141762	1	3	0.00
36773_2#119	31	18	12	10	10	7	1798149	1795655	1784913	1766233	1766233	1685917	18	619386	1795655	37.91	378151	142730	2	4	0.00
36773_2#130	18	10	8	8	8	6	1804113	1801847	1797902	1797902	1797902	1729209	11	1028583	1802801	37.99	1028583	148957	1	3	0.00
36773_2#135	31	11	8	8	6	5	1831296	1826178	1822670	1822670	1781092	1753538	13	1029832	1827615	37.91	1029832	354706	1	2	0.00
36773_2#121	33	22	12	12	10	8	1784327	1779761	1760104	1760104	1724657	1656993	26	548066	1782187	37.84	364340	110634	2	5	0.00
36773_2#15	55	28	18	15	12	9	1900355	1888820	1864127	1838558	1772493	1682681	39	520686	1897240	38.02	209929	121499	3	6	0.00
36773_2#10	49	24	13	12	10	7	1914329	1906095	1881875	1873338	1842217	1733148	30	608423	1910769	37.97	380166	141130	2	5	0.00
36773_2#156	27	10	8	8	8	7	1860030	1855476	1853011	1853011	1853011	1825089	12	1080043	1856775	37.89	1080043	131569	1	4	0.00
36773_2#1	30	19	15	14	11	8	1772161	1769278	1758588	1753327	1694738	1603250	19	526144	1769278	37.92	271141	111289	3	5	0.00
36773_2#127	1720	168	106	82	38	17	3443523	2983645	2833582	2655480	1929956	1228488	413	106423	3153065	37.97	31777	15881	26	60	0.00
36773_2#152	29	11	10	10	10	8	1786871	1780889	1779306	1779306	1779306	1707824	16	998718	1784049	37.79	998718	109806	1	4	0.00
36773_2#186	68	24	18	14	13	11	1890143	1879761	1871028	1835820	1819647	1760543	26	509181	1881490	38.18	133542	106922	4	8	0.00
36773_2#148	38	12	10	10	8	6	1913684	1903429	1900845	1900845	1866244	1793387	21	818290	1909756	38.07	346793	180426	2	4	0.00
36773_2#164	40	11	10	9	9	7	1833842	1824790	1823577	1813890	1813890	1743623	17	648702	1829610	37.94	415689	140788	2	4	0.00
36773_2#167	19	10	8	8	8	6	1854131	1851700	1847755	1847755	1847755	1781622	11	1078511	1852654	38.04	1078511	148954	1	3	0.00
36773_2#112	34	22	14	13	12	9	1972252	1966144	1946426	1936633	1915631	1803074	26	611022	1969928	38.19	231811	110375	3	6	0.00
36773_2#17	105	51	34	30	22	13	1902756	1879035	1846149	1811158	1688325	1398044	73	302334	1895588	38.00	91102	40263	7	14	0.00
36773_2#182	54	18	16	13	12	9	1838143	1827127	1824563	1797123	1773000	1658935	24	452877	1831597	37.84	290354	109189	3	6	0.00
36773_2#180	21	12	9	9	8	7	1766593	1764219	1758727	1758727	1734499	1706849	13	634581	1764862	37.83	362420	161063	2	4	0.00
36773_2#173	20	11	8	7	7	5	1792859	1790872	1785064	1775793	1775793	1722070	12	1024361	1791430	37.94	1024361	335850	1	2	0.00
36773_2#102	35	15	11	10	9	6	1775422	1770418	1763154	1753491	1743259	1642789	17	986422	1771964	37.75	986422	141335	1	3	0.00
36773_2#153	60	31	16	15	13	10	1887650	1878310	1843300	1834868	1806631	1699189	39	551447	1883680	38.05	162739	83811	3	7	0.00
36773_2#141	29	16	12	11	10	6	1860101	1856469	1847073	1837771	1814430	1681839	18	1081426	1857917	38.07	1081426	104870	1	3	0.00
36773_2#162	41	31	22	20	18	14	1885030	1882313	1869321	1854654	1825533	1700137	32	280335	1883064	38.04	124583	89026	6	11	0.00
36773_2#137	32	15	11	10	9	6	1776815	1771256	1760772	1752184	1741952	1641462	18	580089	1773649	37.74	397427	141335	2	4	0.00
36773_2#116	1068	161	102	77	48	22	3578783	3264091	3155528	2965367	2493986	1613485	399	136246	3422687	38.04	48812	20254	24	52	0.00
36773_2#165	35	11	9	9	9	9	1897964	1892623	1887303	1887303	1887303	1887303	14	806001	1894394	37.95	290771	144971	2	4	0.00
36773_2#131	38	14	11	10	10	7	1817213	1810844	1806436	1796558	1796558	1681838	19	625673	1814116	37.94	406636	118764	2	4	0.00
36773_2#175	28	10	8	8	8	7	1805894	1801437	1798885	1798885	1798885	1771230	13	988965	1803163	37.80	988965	173490	1	3	0.00
36773_2#122	43	22	17	15	14	11	1943594	1936801	1928755	1911202	1896064	1800243	25	532559	1939287	38.19	204722	102203	3	7	0.00
36773_2#13	22	10	8	7	7	6	1858297	1855069	1851733	1843187	1843187	1815584	12	1070415	1856368	37.89	1070415	139375	1	3	0.00
36773_2#169	25	13	9	8	8	6	1798557	1796291	1789044	1779773	1779773	1726050	13	619359	1796291	37.91	404854	341440	2	3	0.00
36773_2#120	45	21	15	13	11	9	1985828	1976363	1967477	1952657	1918292	1858896	29	575582	1982450	38.27	201372	139781	3	6	0.00
36773_2#160	20	14	9	8	8	5	1868667	1867340	1857765	1848494	1848494	1762720	14	1035099	1867340	37.99	1035099	146677	1	3	0.00
36773_2#136	38	22	17	14	12	8	1858034	1852699	1844906	1821535	1788174	1663985	26	588955	1855258	37.88	386857	114559	2	5	0.00
36773_2#158	42	24	18	17	13	9	1816379	1811553	1795957	1790696	1721648	1601751	25	526132	1812309	38.00	246569	98846	3	6	0.00
36773_2#185	64	27	22	19	17	13	1809873	1796500	1788152	1762317	1723627	1594544	36	374238	1802759	37.95	129137	85583	5	10	0.00
36773_2#189	31	14	8	8	8	7	1816813	1812112	1799982	1799982	1799982	1772296	16	535806	1813337	38.02	422646	139554	2	4	0.00
36773_2#188	26	14	10	9	8	8	1828851	1824640	1816949	1810608	1795620	1795620	17	507771	1826473	38.04	381423	134287	3	4	0.00
36773_2#134	21	9	7	7	7	6	1809669	1806441	1803105	1803105	1803105	1775502	11	1030332	1807740	37.85	1030332	139375	1	3	0.00
36773_2#191	28	13	10	10	9	7	1846347	1842659	1837856	1837856	1822594	1758824	15	1066964	1843958	37.93	1066964	115574	1	4	0.00
36773_2#161	31	21	15	12	11	8	1846007	1843231	1829120	1810007	1799793	1701736	23	610099	1844524	37.82	205084	183608	3	5	0.00
36773_2#138	81	32	19	18	15	10	1890974	1874901	1844083	1834410	1775952	1615917	42	543834	1882644	38.08	148747	89589	4	8	0.00
36773_2#140	62	31	24	20	13	8	1772532	1765683	1748094	1717052	1605755	1455854	33	526124	1767071	37.94	149644	111241	3	6	0.00
36773_2#163	24	15	10	10	8	6	1812803	1809313	1799541	1799541	1775124	1706468	18	647633	1811591	37.91	390395	323521	2	3	0.00
36773_2#184	16	10	8	7	7	6	1828994	1827609	1822517	1812550	1812550	1784968	11	1043926	1828144	37.95	1043926	148865	1	3	0.00
36773_2#183	22	10	8	8	8	7	1809634	1806466	1803130	1803130	1803130	1775417	12	1030432	1807765	37.85	1030432	131669	1	4	0.00
36773_2#18	112	71	37	30	16	10	1901001	1882045	1812126	1757145	1528120	1322914	92	242570	1896756	37.94	130531	33021	6	13	0.00
36773_2#154	211	118	64	42	24	11	1911201	1864073	1745655	1589689	1296366	808563	165	111461	1901536	38.08	41192	17603	15	31	0.00
36773_2#194	32	23	19	18	16	12	1921321	1917798	1908174	1898296	1870275	1734934	26	290133	1919762	38.05	130319	102542	5	9	0.00
36773_2#172	54	19	13	11	9	5	1824638	1815269	1805918	1787769	1757743	1617081	22	1041624	1817762	38.08	1041624	130153	1	3	0.00
36773_2#128	59	39	23	21	16	10	1924316	1916946	1884093	1865131	1764219	1588428	43	305847	1920271	38.14	181799	71811	4	8	0.00
36773_2#107	38	16	13	12	10	6	1901572	1894623	1890341	1881840	1856448	1720468	20	853660	1897315	38.00	331359	146674	2	4	0.00
36773_2#208	39	9	8	8	8	6	1841067	1834162	1832837	1832837	1832837	1780097	12	994582	1835856	37.87	994582	159642	1	3	0.00
36773_2#147	55	16	11	11	11	10	1889170	1879745	1872167	1872167	1872167	1844590	18	509183	1881544	38.16	212921	125851	3	6	0.00
36773_2#21	49	13	13	12	11	10	1866468	1856700	1856700	1848334	1826293	1799496	17	462482	1859483	37.92	198013	116373	3	7	0.00
36774_2#314	37	12	11	10	10	9	1915060	1906630	1905226	1896684	1896684	1869839	18	632929	1910935	37.96	247758	157574	3	5	0.00
36774_2#316	32	10	9	9	8	7	1839325	1833141	1831773	1831773	1807657	1779628	13	590896	1835051	37.84	450015	161079	2	4	0.00
36774_2#333	41	16	11	10	9	6	1839871	1830915	1818131	1809554	1788349	1686634	22	980285	1835406	37.91	980285	140375	1	3	0.00
36774_2#321	3479	521	67	22	4	0	2721397	1588529	736582	409872	132677	0	1291	38530	2126870	38.12	2377	995	168	528	0.00
36774_2#351	35	19	12	11	11	9	1775798	1772276	1756478	1746773	1746773	1670564	19	547987	1772276	37.87	303033	106917	3	5	0.00
36774_2#307	157	66	40	34	25	12	1896080	1860276	1810104	1765581	1608826	1124133	97	186525	1884664	38.02	66935	35818	9	19	0.00
36774_2#315	1038	546	121	41	4	2	2517218	2232022	1251047	694130	170915	113388	857	62575	2467717	38.02	5062	2441	118	290	0.00
36774_2#325	23	12	7	7	7	6	1788733	1786102	1778057	1778057	1778057	1751183	12	1001360	1786102	37.78	1001360	185564	1	3	0.00
36774_2#320	45	17	14	12	10	8	1825572	1815126	1809280	1794944	1754477	1685353	24	364166	1820481	37.98	297286	124554	3	5	0.00
36774_2#343	51	19	14	13	11	9	1783652	1771960	1760253	1750689	1705481	1637959	28	547895	1778422	37.85	216603	117758	3	6	0.00
36773_2#192	40	15	10	10	10	7	1813583	1805760	1797096	1797096	1797096	1675554	20	502404	1809101	37.90	414769	121302	2	5	0.00
36774_2#33	69	30	21	18	16	12	1982400	1967571	1946494	1922827	1888506	1764638	43	374170	1976502	38.27	139781	110829	5	9	0.00
36774_2#309	37	20	16	14	13	9	1772285	1767228	1761526	1746055	1722213	1564258	23	544905	1769425	37.84	253663	67535	3	6	0.00
36774_2#344	49	28	16	15	12	9	1919769	1911153	1888395	1879049	1816251	1723092	35	408906	1916871	38.10	289478	109829	3	6	0.00
36774_2#289	21	12	10	9	8	7	1860458	1857792	1852975	1843673	1820362	1792695	14	1081457	1859240	38.07	1081457	113263	1	3	0.00
36774_2#334	33	21	14	13	11	8	1772009	1768663	1747473	1737726	1703096	1615075	22	526345	1769215	37.91	367535	111255	2	5	0.00
36774_2#348	50	18	14	12	11	7	1894660	1882643	1876982	1863522	1849839	1709876	24	638282	1887829	38.10	367976	155854	2	5	0.00
36774_2#322	4371	245	100	64	14	2	3104816	1973605	1659898	1389570	585777	169246	713	117534	2275667	38.24	14123	4500	44	110	0.00
36774_2#326	35	15	12	11	11	8	1836731	1832050	1826035	1816717	1816717	1721614	17	467163	1833370	37.89	208833	143260	3	6	0.00
36774_2#347	57	19	13	12	11	10	1888297	1879491	1870625	1861108	1836700	1809123	21	509181	1881225	38.16	212924	113653	3	6	0.00
36774_2#328	47	15	14	14	13	9	1867756	1858936	1857522	1857522	1847288	1725191	20	409667	1862153	38.09	213298	126097	3	6	0.00
36773_2#190	36	20	12	10	10	8	1850804	1845748	1825954	1807828	1807828	1715644	23	578648	1847836	38.06	274906	121426	3	5	0.00
36774_2#310	35	18	12	12	10	7	1822455	1818165	1800144	1800144	1765981	1639792	20	838038	1819466	37.87	256278	163342	2	4	0.00
36774_2#339	46	17	12	11	10	7	1813756	1805368	1796704	1788143	1772476	1659404	21	502404	1808067	37.90	414753	121274	2	5	0.00
36774_2#37	31	21	11	11	9	7	1832444	1829647	1810222	1810222	1774845	1715348	23	547962	1830675	37.91	426869	136890	2	4	0.00
36774_2#342	34	13	12	11	11	8	1859963	1853112	1851565	1842247	1842247	1761611	17	598681	1855961	37.98	387689	116404	2	5	0.00
36774_2#323	30	11	9	9	8	5	1807139	1802447	1799590	1799590	1789054	1701173	14	1007625	1804348	37.74	1007625	355368	1	2	0.00
36774_2#331	63	20	17	16	13	10	1838504	1828407	1824262	1814514	1763702	1667783	23	449926	1830214	37.85	238775	98469	3	6	0.00
36774_2#336	43	19	12	10	9	7	1967423	1958587	1938133	1920580	1908474	1839098	26	1070445	1963683	38.25	1070445	115304	1	3	0.00
36774_2#340	2600	494	76	19	3	0	2433628	1612142	690215	309117	94992	0	1031	36723	1991805	37.80	3238	1321	153	391	0.00
36774_2#327	55	31	19	17	15	8	1886900	1878686	1853132	1839653	1811565	1563073	37	551421	1883092	38.03	213367	76665	3	6	0.00
36774_2#345	105	55	31	24	16	9	1843501	1822202	1779513	1724977	1600152	1320053	77	430171	1838422	37.77	141289	49614	4	11	0.00
36773_2#222	20	11	8	8	8	7	1794120	1791943	1783294	1783294	1783294	1755700	12	604841	1792516	37.79	383923	153493	2	4	0.00
36774_2#341	30	20	11	11	9	7	1831067	1827740	1810221	1810221	1774835	1715339	23	547963	1829423	37.90	426852	136891	2	4	0.00
36774_2#269	61	32	24	21	18	9	1850461	1842310	1824803	1799041	1755787	1448939	34	599093	1843553	38.06	140766	59169	3	8	0.00
36774_2#324	39	18	15	13	11	6	1776200	1770428	1764074	1750250	1715631	1541116	20	580298	1771845	37.73	373073	141335	2	4	0.00
36774_2#338	4145	253	125	74	8	3	3047685	1999363	1710245	1355560	325365	170079	659	57895	2257056	38.16	12944	5434	55	122	0.00
36774_2#36	30	13	9	9	9	8	1892906	1888976	1881368	1881368	1881368	1853783	14	564804	1889559	38.06	461305	171539	2	4	0.00
36774_2#6	35	18	13	12	10	7	1894593	1889279	1879086	1870383	1832220	1732790	21	837260	1891704	37.98	264229	183981	2	4	0.00
36774_2#335	5031	290	108	50	4	1	2971837	1735605	1310376	913713	175508	69995	721	69995	2015224	38.47	8611	3140	61	159	0.00
36774_2#317	6946	392	81	31	6	0	3118997	1503495	856243	545015	200137	0	961	43994	1893962	38.42	4220	1204	101	317	0.00
36774_2#50	32	15	12	11	11	8	1777638	1772639	1765863	1756154	1756154	1635422	17	548236	1774187	37.87	376585	136857	2	4	0.00
36774_2#206	6211	587	88	25	3	0	3439292	1892671	832376	404434	98211	0	1240	35704	2327975	38.01	3114	1312	173	459	0.00
36773_2#170	59	27	16	15	15	11	1965629	1957489	1936793	1929925	1929925	1809652	29	541238	1959048	38.18	171042	115419	3	7	0.00
36774_2#42	41	21	16	13	11	8	1754380	1747090	1738260	1710594	1674162	1563121	28	506158	1751914	37.90	265203	92467	3	6	0.00
36774_2#39	48	24	18	16	13	10	1810512	1802934	1785705	1770675	1712741	1611785	29	526325	1806243	37.98	140629	111255	3	7	0.00
36774_2#305	27	14	10	9	8	6	1820319	1816647	1808897	1799228	1784050	1722240	17	631640	1818536	37.76	391688	381402	2	3	0.00
36774_2#361	25	15	12	11	9	7	1765671	1761718	1753007	1744401	1718205	1661392	19	528635	1764526	37.93	409960	134704	2	4	0.00
36774_2#278	44	32	24	22	19	13	1884513	1881050	1868052	1855418	1807701	1600405	34	289684	1882428	38.04	104642	77441	6	11	0.00
36774_2#330	24	11	8	8	8	7	1794868	1792396	1783844	1783844	1783844	1756250	11	604837	1792396	37.79	384487	153485	2	4	0.00
36774_2#329	25	15	12	11	9	7	1765671	1761716	1753005	1744403	1718207	1661375	19	528639	1764529	37.93	409929	134703	2	4	0.00
36774_2#377	54	14	13	11	10	6	1837941	1827330	1825900	1808038	1783921	1631643	18	590749	1830000	37.83	449922	161150	2	4	0.00
36774_2#337	41	15	10	9	7	6	1853568	1847233	1837815	1829749	1788841	1761075	18	577113	1849026	37.92	459594	367051	2	3	0.00
36774_2#59	50	19	14	13	11	9	1783657	1771972	1760265	1750701	1705493	1637971	28	547895	1778687	37.86	216604	117757	3	6	0.00
36773_2#132	31	19	16	14	14	9	1797589	1795086	1788874	1768971	1768971	1584670	19	401514	1795086	37.92	286943	98976	3	6	0.00
36774_2#369	21	10	8	7	7	6	1837981	1834431	1831355	1822814	1822814	1795244	14	622088	1836753	37.81	375292	172762	2	4	0.00
36774_2#58	69	25	20	17	15	10	1863626	1852693	1842082	1814150	1785192	1646039	29	587947	1855539	37.92	143026	88481	3	7	0.00
36774_2#349	190	71	48	31	19	13	1865909	1825433	1769168	1639090	1424965	1237094	97	190708	1842398	37.79	65259	27408	8	18	0.00
36774_2#4	44	17	13	12	8	6	1840057	1833635	1825441	1818465	1755559	1683515	19	994685	1834751	37.88	994685	127640	1	3	0.00
36774_2#311	28	13	9	9	7	6	1859898	1854351	1846220	1846220	1812539	1784913	17	1080097	1857349	38.03	1080097	134913	1	3	0.00
36774_2#72	37	16	12	11	9	8	1862285	1854599	1845055	1835581	1802814	1775124	24	624021	1859578	37.97	215884	154557	3	5	0.00
36774_2#360	29	14	9	8	8	5	1833228	1828695	1817817	1808214	1808214	1701243	17	1049359	1830688	37.96	1049359	148958	1	3	0.00
36774_2#38	33	19	13	11	10	7	1815189	1809792	1801644	1783962	1770930	1675145	23	645766	1812875	38.05	305952	139867	2	5	0.00
36774_2#47	26	12	9	7	6	5	1800170	1796937	1792610	1775751	1752454	1724849	13	989031	1797720	37.82	989031	360488	1	2	0.00
36774_2#56	31	13	10	8	8	6	1782312	1775570	1767451	1749273	1749273	1673471	19	601226	1779654	37.76	383812	372914	2	3	0.00
36773_2#224	54	29	20	17	14	13	2003871	1993704	1973174	1953750	1898457	1862649	39	305618	2000217	38.30	194911	111009	5	8	0.00
36774_2#359	1754	164	109	83	44	13	3447217	2984108	2871910	2680189	2020666	918841	394	172389	3142677	37.91	32589	18397	29	60	0.00
36774_2#365	27	8	7	6	6	5	1853395	1848138	1845579	1837661	1837661	1809897	11	1085494	1850162	37.92	1085494	367024	1	2	0.00
36774_2#355	53	21	19	15	14	10	1851978	1843885	1837372	1804639	1789259	1653585	26	450613	1846957	37.93	144131	119657	4	7	0.00
36774_2#346	43	25	18	14	13	7	1894505	1887507	1867102	1830056	1809840	1602831	31	568605	1891698	38.10	381264	97073	2	5	0.00
36774_2#57	37	19	14	13	12	10	1896963	1890438	1882392	1873024	1849669	1792404	22	532443	1892924	38.13	204722	130081	3	6	0.00
36774_2#71	38	11	10	10	10	9	1874513	1866148	1865063	1865063	1865063	1838259	16	468333	1869423	37.94	198676	131948	3	6	0.00
36774_2#382	39	17	14	13	10	5	1854179	1847136	1839646	1829816	1785371	1613442	21	1070212	1850062	37.97	1070212	112110	1	3	0.00
